Clase,Segmento,MFCC1,MFCC4,MFCC5,ZCR,RMS
choclo,Segmento_1,-584.30566,41.292095,-17.645412,0.14418230404732915,0.00183671
choclo,Segmento_2,-548.4341,39.951088,-12.93307,0.06932860095091542,0.0025545221
choclo,Segmento_3,-546.47003,43.17863,-16.236582,0.08827046976461038,0.0022060252
choclo,Segmento_4,-487.73483,46.402122,-17.86767,0.09256861680218963,0.025317822
choclo,Segmento_5,-409.46973,38.14089,-18.750193,0.07516222568276835,0.051218096
choclo,Segmento_6,-346.68896,40.560722,-19.643192,0.07389800402582909,0.05859309
choclo,Segmento_7,-378.7571,33.65848,-16.028141,0.0822631382986433,0.04955846
choclo,Segmento_8,-445.64548,30.173052,-19.226168,0.11260801750565283,0.03199557
choclo,Segmento_9,-606.0429,29.956507,-15.680017,0.1821334810557746,0.0052744397
choclo,Segmento_10,-606.2907,36.223644,-12.604075,0.18679792962106717,0.00714735
berenjena,Segmento_1,-566.9024,40.238445,-19.175505,0.12492000209895718,0.0030255457
berenjena,Segmento_2,-550.0894,42.320118,-11.991487,0.06961233310598545,0.0032199856
berenjena,Segmento_3,-501.5421,43.333656,-11.293955,0.06801617147320274,0.024508469
berenjena,Segmento_4,-452.8667,46.65367,-12.126622,0.06828377360848065,0.03568487
berenjena,Segmento_5,-379.65817,52.164417,-1.5199517,0.07214794487377495,0.06789062
berenjena,Segmento_6,-270.90048,62.339798,-0.9955177,0.0533322543613071,0.078513026
berenjena,Segmento_7,-277.93835,56.091103,-4.0455637,0.05731327429081335,0.06825077
berenjena,Segmento_8,-404.80566,49.604946,-8.149938,0.08944077420517851,0.044361435
berenjena,Segmento_9,-572.35284,35.850376,-12.0639515,0.21609504034919075,0.016472299
berenjena,Segmento_10,-636.3991,32.80961,-10.014771,0.2555241766154852,0.006182805
zanahoria,Segmento_1,-576.73944,42.379494,-16.987707,0.13358175874841682,0.0020842622
zanahoria,Segmento_2,-557.0758,42.410744,-16.662771,0.09869626976470625,0.0019617246
zanahoria,Segmento_3,-493.65604,42.37817,-20.961485,0.11193825570997137,0.007446552
zanahoria,Segmento_4,-384.38974,35.715816,-22.244953,0.13398341805953853,0.03753841
zanahoria,Segmento_5,-321.81885,29.426785,-25.245188,0.1272603793471392,0.06969587
zanahoria,Segmento_6,-264.13568,28.387394,-24.981762,0.09082920119978097,0.09914649
zanahoria,Segmento_7,-272.9636,45.399326,-16.402014,0.05028382149116114,0.07727359
zanahoria,Segmento_8,-390.8769,33.57734,-12.116248,0.08992559257092046,0.048032526
zanahoria,Segmento_9,-524.16815,41.412754,-5.89964,0.1203263811802309,0.030153824
zanahoria,Segmento_10,-602.755,32.389366,-8.469808,0.177256272316408,0.00622168
papa,Segmento_1,-587.0714,41.449547,-15.228002,0.11419142958510824,0.0024806086
papa,Segmento_2,-555.6465,44.89768,-17.402723,0.07521678350813928,0.0018417129
papa,Segmento_3,-512.4849,45.68451,-18.6621,0.09004486515582442,0.0071801813
papa,Segmento_4,-502.92966,42.586838,-19.509043,0.0873010350632935,0.012263386
papa,Segmento_5,-494.85684,35.515343,-22.874298,0.08741440174108003,0.02127659
papa,Segmento_6,-334.79178,15.355401,-30.832693,0.08270313921033343,0.08516126
papa,Segmento_7,-371.84567,21.22492,-27.782057,0.05271975701477261,0.052835573
papa,Segmento_8,-418.9526,24.941854,-22.472862,0.10344403559723499,0.036989983
papa,Segmento_9,-529.5455,26.477846,-21.048626,0.16937923715233452,0.017325126
papa,Segmento_10,-591.97473,27.376923,-15.496615,0.17522521038201216,0.009862868
